7326672649846856831	0	6	1	6
6611744438104028977	0	6	1	6
477924733298361031	2	6	3	6
1496422716138845249	0	1	1	1
3306687375624229278	0	1	1	1
3820174235690291055	0	1	1	1
499070670725789083	0	1	1	1
7302065961246513887	0	6	1	6
705585915293183175	0	6	1	6
2165134752686328119	0	1	1	1
5854532093464272570	0	1	1	1
9029422386465976582	0	6	1	6
1233700413849201781	4	6	5	6
6716158848427474604	2	1	3	1
1448506577599328781	0	6	1	6
4908581776674514053	0	1	1	1
1056060566044688065	0	1	1	1
6126332229247108431	0	1	1	1
6197785261905148424	0	6	1	6
6671026284053182346	0	1	1	1
1667976758976286473	4	1	5	1
5372027939061256991	0	1	1	1
5305850709460520577	6	1	7	1
4690329075131974282	0	6	1	6
4117612652242154536	0	1	1	1
2737245292403143887	0	1	1	1
6612740672650888776	0	1	1	1
1522276643650573807	0	1	1	1
2375436794054827969	0	1	1	1
3505182337547175102	0	1	1	1
4115318316926813476	0	1	1	1
8781881361434438973	0	1	1	1
1639565102196439382	0	1	1	1
4185325504570239145	0	1	1	1
8362783068322726181	0	6	1	6
4693571291335099520	0	1	1	1
2549953107897603529	0	1	1	1
7885573168504557107	0	1	1	1
8439373385262629909	0	1	1	1
4006015017022908857	0	1	1	1
5376031766563478646	0	1	1	1
8710686842011153407	0	6	1	6
2399846813542473666	0	1	1	1
6559847043552508889	0	1	1	1
4660790770742640173	0	1	1	1
6477291507513262504	2	6	3	6
6938779217052057631	0	1	1	1
2157622170002280535	0	6	1	6
7009543890460011555	0	1	1	1
7862086553252858075	0	1	1	1
6311183582335414314	0	0	1	0
4510000093372955717	0	0	1	0
2949834937232298805	0	1	1	1
4016691781134970519	0	1	1	1
3705860514743934441	0	0	1	0
7330584762120600924	0	0	1	0
